,hub,bins,imsize,bic,aic,covariances,means,n_components,nb_partitions,nk_debug,weights
778,gas,30,25,-6788.623066771434,-7064.089830072264,"[[[1.19520262e-04]]

 [[5.51937077e-02]]

 [[5.70446986e-02]]

 [[1.05814034e-02]]

 [[5.24462476e-03]]

 [[4.53449303e-03]]

 [[4.39291518e-04]]

 [[4.01988365e-03]]

 [[6.23181814e-04]]

 [[9.94391818e-05]]

 [[3.50276975e-03]]

 [[6.30822227e-03]]

 [[7.41819188e-03]]

 [[6.45791333e-03]]

 [[2.24686925e-05]]

 [[1.44773220e-03]]

 [[3.61501236e-04]]]","[[0.4956622 ]
 [0.48324939]
 [0.41221409]
 [0.53323021]
 [0.47626588]
 [0.47401471]
 [0.49740138]
 [0.47516987]
 [0.49326968]
 [0.49534439]
 [0.47712723]
 [0.50582177]
 [0.5246005 ]
 [0.51843911]
 [0.49431881]
 [0.495741  ]
 [0.49844677]]",17.0,17.0,"[0.08, 0.2, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.08, 0.04, 0.12, 0.04]","[0.12155235 0.01783263 0.00387647 0.00455875 0.01974412 0.02505654
 0.03593812 0.02478933 0.02731427 0.06429818 0.02328905 0.01244132
 0.00598546 0.01872476 0.16227633 0.39012729 0.04219505]"
779,gas,30,30,-6790.169075536434,-7032.579827241164,"[[[2.83702707e-03]]

 [[8.50495758e-05]]

 [[1.63413351e-03]]

 [[5.92213126e-02]]

 [[6.09206485e-03]]

 [[7.16370813e-05]]

 [[6.42948352e-04]]

 [[3.53819890e-02]]

 [[4.74406301e-03]]

 [[6.27552911e-03]]

 [[9.52313080e-05]]

 [[1.20762744e-03]]

 [[4.52899012e-03]]

 [[6.49196021e-03]]

 [[3.94196539e-04]]]","[[0.47970972]
 [0.49517519]
 [0.49666212]
 [0.35127251]
 [0.49035692]
 [0.4949064 ]
 [0.4941322 ]
 [0.51992368]
 [0.46848897]
 [0.49558737]
 [0.49515852]
 [0.48934322]
 [0.47025578]
 [0.50280989]
 [0.49689732]]",15.0,15.0,"[0.033424657534246574, 0.033424657534246574, 0.13315068493150686, 0.033424657534246574, 0.033424657534246574, 0.09972602739726028, 0.0663013698630137, 0.23397260273972603, 0.033424657534246574, 0.033424657534246574, 0.03287671232876712, 0.06684931506849315, 0.03287671232876712, 0.10027397260273972, 0.033424657534246574]","[0.01837032 0.10058777 0.37201707 0.00615359 0.01082296 0.22523369
 0.04354362 0.0237044  0.01857877 0.00980515 0.05994665 0.03732116
 0.01880155 0.02594521 0.02916809]"
780,gas,30,35,-6837.4295720723185,-7079.840323777048,"[[[4.36786742e-03]]

 [[1.76278088e-04]]

 [[2.80190157e-02]]

 [[4.20220958e-05]]

 [[4.58723929e-03]]

 [[2.20320170e-03]]

 [[3.88612930e-03]]

 [[6.19938728e-02]]

 [[5.77651338e-03]]

 [[2.49342350e-05]]

 [[7.75820997e-03]]

 [[1.71616800e-03]]

 [[3.07005748e-03]]

 [[4.81414706e-03]]

 [[5.99742852e-04]]]","[[0.48873895]
 [0.4959863 ]
 [0.53731356]
 [0.49473129]
 [0.48923939]
 [0.49833232]
 [0.48734149]
 [0.44986417]
 [0.51107861]
 [0.4944779 ]
 [0.51362637]
 [0.48707875]
 [0.48605404]
 [0.4922742 ]
 [0.49611242]]",15.0,15.0,"[0.05698630136986301, 0.02904109589041096, 0.08547945205479453, 0.057534246575342465, 0.05698630136986301, 0.028493150684931506, 0.08602739726027397, 0.17095890410958905, 0.05698630136986301, 0.028493150684931506, 0.028493150684931506, 0.057534246575342465, 0.028493150684931506, 0.028493150684931506, 0.2]","[0.04186446 0.02340813 0.00828072 0.12146737 0.04090629 0.07224309
 0.06166231 0.01618399 0.01248915 0.12955652 0.00410333 0.0335438
 0.01832127 0.01749801 0.39847157]"
781,gas,30,40,-6917.3683621543305,-7093.667090666861,"[[[1.12644410e-04]]

 [[5.06976410e-03]]

 [[6.80431597e-03]]

 [[4.67504438e-03]]

 [[4.86387310e-03]]

 [[3.23461038e-05]]

 [[5.47244796e-02]]

 [[2.57949628e-04]]

 [[1.12317653e-03]]

 [[5.60361212e-02]]

 [[4.91662380e-05]]]","[[0.49562779]
 [0.48635627]
 [0.51421901]
 [0.48651195]
 [0.48723266]
 [0.49453191]
 [0.48047719]
 [0.49686699]
 [0.49533884]
 [0.47345282]
 [0.49477165]]",11.0,11.0,"[0.05041095890410959, 0.025205479452054796, 0.12438356164383561, 0.10082191780821918, 0.049315068493150684, 0.07506849315068494, 0.025205479452054796, 0.09917808219178083, 0.22575342465753426, 0.19945205479452055, 0.025205479452054796]","[0.05880424 0.01959142 0.02322284 0.08062523 0.0397921  0.19335487
 0.00250422 0.08034116 0.43617224 0.01968902 0.04590265]"
782,gas,30,45,-6964.8897123844035,-7108.132429300835,"[[[3.23107977e-05]]

 [[1.20866198e-02]]

 [[2.42011919e-04]]

 [[5.58377359e-03]]

 [[5.11926820e-03]]

 [[1.07069695e-03]]

 [[4.58531977e-03]]

 [[4.94327063e-03]]

 [[5.17819968e-02]]]","[[0.49459766]
 [0.51765391]
 [0.49644441]
 [0.5092704 ]
 [0.48558839]
 [0.49538418]
 [0.47888685]
 [0.48074628]
 [0.47591081]]",9.0,9.0,"[0.06684931506849315, 0.022465753424657533, 0.1336986301369863, 0.17753424657534247, 0.043835616438356165, 0.22301369863013698, 0.04438356164383562, 0.04438356164383562, 0.24383561643835616]","[0.2526277  0.00256006 0.10811215 0.04647742 0.02819935 0.46147066
 0.0432203  0.03305764 0.02427473]"
783,gas,30,50,-7006.940292902004,-7133.655004020386,"[[[5.46719740e-02]]

 [[3.76951011e-03]]

 [[1.39764275e-05]]

 [[4.07252574e-03]]

 [[3.40229880e-03]]

 [[3.93497792e-03]]

 [[4.43663520e-03]]

 [[4.50238689e-04]]]","[[0.47595967]
 [0.486387  ]
 [0.49434065]
 [0.49476645]
 [0.48864448]
 [0.48825478]
 [0.50500735]
 [0.49600074]]",8.0,8.0,"[0.24, 0.020273972602739727, 0.020273972602739727, 0.059726027397260274, 0.15945205479452054, 0.020273972602739727, 0.20054794520547944, 0.27945205479452057]","[0.02339207 0.02243427 0.17548988 0.03442877 0.17093697 0.01536871
 0.05004307 0.50790626]"
784,gas,30,55,-6876.884754436642,-7003.599465555023,"[[[0.00021801]]

 [[0.0016099 ]]

 [[0.00325409]]

 [[0.05276989]]

 [[0.0033739 ]]

 [[0.00330704]]

 [[0.00308705]]

 [[0.00342347]]]","[[0.495624  ]
 [0.4875183 ]
 [0.48961324]
 [0.47661586]
 [0.49693328]
 [0.49220776]
 [0.48599092]
 [0.50218334]]",8.0,8.0,"[0.27342465753424655, 0.054246575342465755, 0.0547945205479452, 0.23616438356164385, 0.03671232876712329, 0.10849315068493151, 0.0547945205479452, 0.18136986301369862]","[0.59731107 0.05030947 0.0517893  0.02482616 0.02390946 0.0879185
 0.07303574 0.09090029]"
785,gas,30,60,-7017.723682279526,-7127.910387599857,"[[[6.32153254e-04]]

 [[4.47179891e-03]]

 [[5.54859896e-02]]

 [[4.26425842e-03]]

 [[4.00571091e-03]]

 [[2.68331244e-05]]

 [[3.98345346e-03]]]","[[0.49578886]
 [0.503136  ]
 [0.47598184]
 [0.48893019]
 [0.48117568]
 [0.49454028]
 [0.48093766]]",7.0,7.0,"[0.3013698630136986, 0.2, 0.24986301369863015, 0.08328767123287671, 0.016986301369863014, 0.09917808219178083, 0.049315068493150684]","[0.50401407 0.08966532 0.02270038 0.06634209 0.02001937 0.23678169
 0.06047707]"
786,gas,30,65,-7029.685153320019,-7139.87185864035,"[[[4.35799983e-04]]

 [[3.41950430e-03]]

 [[3.89224957e-03]]

 [[3.43853145e-03]]

 [[3.95722189e-03]]

 [[5.53034354e-02]]

 [[1.50081199e-05]]]","[[0.4960718 ]
 [0.48771034]
 [0.50373091]
 [0.48771523]
 [0.5042221 ]
 [0.47621746]
 [0.49433401]]",7.0,7.0,"[0.27835616438356164, 0.1073972602739726, 0.030684931506849315, 0.07671232876712329, 0.23013698630136986, 0.23068493150684932, 0.046027397260273974]","[0.48983849 0.13447843 0.01054837 0.0919802  0.07003163 0.02321949
 0.17990339]"
787,gas,30,70,-6914.743085970311,-7008.401785492593,"[[[0.00023659]]

 [[0.00352493]]

 [[0.05302009]]

 [[0.00341168]]

 [[0.00307081]]

 [[0.00320431]]]","[[0.49555627]
 [0.50411127]
 [0.47725212]
 [0.49981623]
 [0.48819482]
 [0.49061399]]",6.0,6.0,"[0.3013698630136986, 0.17095890410958905, 0.27123287671232876, 0.014246575342465753, 0.08547945205479453, 0.1567123287671233]",[0.62050045 0.06745085 0.02467552 0.0080328  0.11517962 0.16416077]
